Store ID,City,Date,Foot Traffic,Customers,Avg Order Value ($),Daily Sales ($),Avg Customer Rating,Local Competition Count
New York - Store 1,New York,2023-01-01,152,51,5.100608739196983,260.13,4.669536500409154,5
New York - Store 1,New York,2023-01-02,152,35,4.5998494949080175,160.99,4.188873337948801,5
New York - Store 1,New York,2023-01-03,149,21,7.905330837693118,166.01,3.58461736854065,8
New York - Store 1,New York,2023-01-04,285,108,4.004672595046086,432.5,4.9883173389368265,1
New York - Store 1,New York,2023-01-05,253,71,4.042397831318304,287.01,3.5345936375621236,3
New York - Store 1,New York,2023-01-06,157,39,7.554487413172255,294.63,3.5696756190799968,3
New York - Store 1,New York,2023-01-07,184,27,4.390309557911677,118.54,4.92332830588,2
New York - Store 1,New York,2023-01-08,299,57,4.586032684038303,261.4,4.526349539768235,7
New York - Store 1,New York,2023-01-09,221,54,4.20633112669131,227.14,4.863980603118173,4
New York - Store 1,New York,2023-01-10,99,29,5.8702664565364655,170.24,4.280102031766717,4
New York - Store 1,New York,2023-01-11,103,11,9.05370864756999,99.59,4.174631200054648,4
New York - Store 1,New York,2023-01-12,63,20,5.959244612835012,119.18,4.355665961608099,9
New York - Store 1,New York,2023-01-13,239,47,6.332063738136892,297.61,3.907023547660844,5
New York - Store 1,New York,2023-01-14,73,15,5.685607058124285,85.28,4.314044124737372,9
New York - Store 1,New York,2023-01-15,206,70,4.447303862078625,311.31,4.980330404900776,8
New York - Store 1,New York,2023-01-16,178,28,4.033132702741614,112.93,4.723192142682251,1
New York - Store 1,New York,2023-01-17,185,58,8.627622080115675,500.4,3.6110669776011357,7
New York - Store 1,New York,2023-01-18,299,40,9.178620555253561,367.14,4.434947190241337,2
New York - Store 1,New York,2023-01-19,82,9,5.865893930293973,52.79,3.9877749830401203,3
New York - Store 1,New York,2023-01-20,221,64,9.32327645545796,596.69,4.208322387742924,5
New York - Store 1,New York,2023-01-21,224,70,8.564710291701385,599.53,4.341915796354244,7
New York - Store 1,New York,2023-01-22,76,19,6.565246110151298,124.74,3.538128690116143,3
New York - Store 1,New York,2023-01-23,112,41,6.8522213390926705,280.94,4.344913357964575,4
New York - Store 1,New York,2023-01-24,271,38,7.626504275666903,289.81,4.309761636952509,4
New York - Store 1,New York,2023-01-25,62,7,5.738508717482608,40.17,3.7418319308810064,2
New York - Store 1,New York,2023-01-26,219,74,7.800422539062541,577.23,4.807190885281576,4
New York - Store 1,New York,2023-01-27,79,28,5.9460701260316435,166.49,3.68313193205101,9
New York - Store 1,New York,2023-01-28,280,104,5.632793496307812,585.81,4.471535180812044,9
New York - Store 1,New York,2023-01-29,165,33,5.828687548948174,192.35,3.7469837797144128,9
New York - Store 1,New York,2023-01-30,111,18,4.719192204002097,84.95,4.006422757105442,6
New York - Store 1,New York,2023-01-31,209,53,8.218113753371068,435.56,4.045444403568941,1
New York - Store 1,New York,2023-02-01,235,91,5.510693774952185,501.47,4.245872758838578,1
New York - Store 1,New York,2023-02-02,150,27,4.221321684127197,113.98,4.414346500969845,2
New York - Store 1,New York,2023-02-03,269,31,5.671878785419668,175.83,4.86239882894998,3
New York - Store 1,New York,2023-02-04,175,25,6.936716561665378,173.42,4.978475681165901,7
New York - Store 1,New York,2023-02-05,117,14,6.217926736368427,87.05,3.8632399074161388,6
New York - Store 1,New York,2023-02-06,73,17,9.900538845369057,168.31,4.09823666366683,1
New York - Store 1,New York,2023-02-07,250,49,5.119111062399125,250.84,3.5611627123321457,4
